epoch	step	fid	feature	size	n_gen
100	13700	276.8343	2048	128	64
200	27400	227.1223	2048	128	64
300	41100	221.7248	2048	128	64
400	54800	218.9475	2048	128	64
500	68500	211.1362	2048	128	64
600	82200	208.9368	2048	128	64
700	95900	202.4289	2048	128	64
800	109600	207.7614	2048	128	64
900	123300	214.1608	2048	128	64
